Abschnitt_ID,Text,Quelle
223,"↑Amelie Graen:Kaum jemand kennt die wahre Geschichte hinter dem Namen von Wal „Timmy“.In:Stern.2.April 2026,abgerufen am 9.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
225,"↑Benjamin Pogadl:Timmy, Hope und plötzlich auch Fridolin: Immer neue Namen für den Ostsee-Wal. In:Der Westen. 27.April 2026 (derwesten.de[abgerufen am 4.Mai 2026]).",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
226,"↑Time running out for stranded humpback whale ‘Timmy’.In:Reuters.30.März 2026,abgerufen am 15.April 2026(englisch).",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
227,"↑Buckelwal „Timmy“: Jetzt soll ein Katamaran eingreifen.In:Express.5.April 2026,abgerufen am 10.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
228,"↑Daniel Lingenhöhl:Gefahr durch Plastikmüll: Buckelwal Timmy ist ein Symbol für den Zustand der Meere.In:Spektrum.de.31.März 2026,abgerufen am 15.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
231,"↑Fall von Buckelwal Timmy gilt als weltweit einzigartig.In:Die Zeit.8.April 2026,abgerufen am 14.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
232,"↑Teresa Toth:Land schließt Tötung von „Timmy“ nicht aus: Schicksal von Buckelwal „Johannes“ zeigt, wie das enden könnte.In:merkur.de.2.Mai 2026,abgerufen am 2.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
239,"↑Amelie Graen:Kaum jemand kennt die wahre Geschichte hinter dem Namen von Wal Timmy.In:Stern.2.April 2026,abgerufen am 9.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
245,"↑Polizeieinsatz samt Sperrzone bei Wal „Timmy“.In:Kronen Zeitung.1.April 2026,abgerufen am 26.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
251,"1234Tom Kroll, Christoph Heinemann:Wal-Rettung in der Ostsee: Die absurde Timmy-Verschwörung. In:Die Zeit. 22.April 2026,ISSN0044-2070(zeit.de[abgerufen am 23.April 2026]).",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
253,"↑Privater Rettungsversuch für Wal Timmy genehmigt.In:ZDF heute.15.April 2026,abgerufen am 15.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
259,"↑Update Livestream zur Walrettung: Rettungsversuch für „Timmy“ hat begonnen– Experte befürchtet „Aktionismus“.In:Tagesspiegel.16.April 2026,abgerufen am 16.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
260,"↑Ceren Balantekin:Wal Timmy: Rettungsteam nähert sich dem Tier – „Der Wal hat gut reagiert“.In:Der Westen.16.April 2026,abgerufen am 16.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
261,"↑Sarah Dapena Fernandez:Wal-Expertin wird extra aus Hawaii für Timmy eingeflogen – aber helfen darf sie nicht.In:Der Westen.16.April 2026,abgerufen am 17.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
262,"↑Jan Gebauer:Rettung von Wal „Timmy“ nimmt absurde Züge an.In:Kölner Stadt-Anzeiger.17.April 2026,abgerufen am 17.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
263,"↑Wal-Drama in Ostsee: Lastkahn im Nord-Ostsee-Kanal – Keine Ruhe für Timmy.In:T-Online.24.April 2026,abgerufen am 26.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
264,"↑Matti Hartmann:Riesen-Knall im Team Timmy.In:T-Online.21.April 2026,abgerufen am 21.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
266,"↑""Wal-Flüsterer"": Timmy war in kompletter Panik.In:T-Online.22.April 2026,abgerufen am 22.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
267,"↑Nur Buckelwal «Timmy» bewegt sich nicht.In:Schweizer Radio und Fernsehen.21.April 2026,abgerufen am 21.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
268,"↑Wal „Timmy“ bewegt sich nicht fort: „Ich empfehle, ihn jetzt strikt in Ruhe zu lassen“.In:Tagesspiegel.21.April 2026,abgerufen am 21.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
269,"↑Christian Albustin:Buckelwal „Timmy“ soll mit Makrelen gefüttert werden.In:Rheinische Post.21.April 2026,abgerufen am 21.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
272,"↑Kimberley Schmidt:Nimmt Buckelwal-Drama in der Ostsee jetzt eine Wende? Legendäres „Free Willy“-Team soll Timmy retten.In:Münchner Merkur.23.April 2026,abgerufen am 23.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
273,"↑Interview von Leon Pollok:Timmy-Einsatzleiter spricht Klartext: „Das wäre eine Katastrophe“.In:t-online.de.30.April 2026,abgerufen am 30.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
275,"↑Ellen Ivits:Expertin entsetzt über Pläne für Wal Timmy.In:T-Online.23.April 2026,abgerufen am 23.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
277,"↑Buckelwal „Timmy“ schafft es in die Barge – entscheidender Moment im Video.In:merkur.de, 28. April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
280,"↑Timmys Reise geht los: Wal bereits nicht mehr in der Kirchsee.In:t-online.de.28.April 2026,abgerufen am 28.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
281,"↑Buckelwal ""Timmy"" ist zurück in der Nordsee.In:zdfheute.de.2.Mai 2026,abgerufen am 2.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
282,"↑Jan Schneider:Wie wurde Buckelwal Timmy freigelassen?In:zdfheute.de.4.Mai 2026,abgerufen am 4.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
284,"↑Timmys Peilsender gibt wohl Signal.In:t-online.de.2.Mai 2026,abgerufen am 2.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
285,"↑Miriam Rathje:Wo ist Buckelwal „Timmy“?: Geldgeberin der Rettungsaktion erklärt, warum es noch keine GPS-Daten gibt.In:tagesspiegel.de.7.Mai 2026,abgerufen am 7.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
286,"↑Wal Timmy ist frei! Doch noch ist er nicht in Sicherheit.In:morgenpost.de.2.Mai 2026,abgerufen am 2.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
312,"↑Das ist der Rettungsplan für Timmy, den Buckelwal.In:bz-berlin.de.25.April 2026,abgerufen am 8.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
320,"↑Mine Hacibekiroglu:Die Lage von Buckelwal Timmy wird immer ernster– nun mischt sich selbst Frank-Walter Steinmeier ein.In:Münchner Merkur.19.April 2026,abgerufen am 19.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
328,"↑Melanie Althoff:Sorge um Buckelwal Timmy: Sarah Connor richtet sich mit deutlichem Appell an Fans.In:Focus.14.April 2026,abgerufen am 14.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
330,"↑Patrick Schiller, Markus Krause:Ostsee-Wal „Timmy“: Funkspruch bringt ITAW in Bedrängnis.In:T-Online.22.April 2026,abgerufen am 22.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
338,"↑Sebastian Leber:Drama um sterbenden Buckelwal Timmy: Jetzt kommen auch noch die Extremisten.In:Tagesspiegel.15.April 2026,abgerufen am 15.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
340,"↑Janine Karrasch:Verschwörungen rund um Ostsee-Wal Timmy: Psychologe erklärt beunruhigendes Phänomen.In:Münchner Merkur.17.April 2026,abgerufen am 17.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
341,"↑Kimberley Schmidt:Gestrandeter Buckelwal Timmy in der Ostsee – Bürger vermuten dunkle Machenschaften.In:Frankfurter Rundschau.20.April 2026,abgerufen am 20.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
344,"↑Peter Carstens:Drama um Buckelwal ""Timmy"": Warum der neue Rettungsversuch allen schadet.In:Geo.16.April 2026,abgerufen am 16.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
346,"↑Nico Fried:Orientierungslos wie Timmy: Die seltsame Rolle von Minister Till Backhaus.In:Stern.22.April 2026,abgerufen am 22.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
347,"↑Timmy, ein Rettungsmärchen – Was bleibt vom Wal-Trubel?In:stern.de.6.Mai 2026,abgerufen am 6.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
355,"↑Bjarne Bock:Wenn Buckelwal Timmy im offenen Meer stirbt, sprechen Experten vom „Walsturz“.In:fr.de.6.Mai 2026,abgerufen am 6.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
356,"↑Ellen Ivits:Der Walsturz – das traurige Ende für Timmy.In:t-online.de.7.Mai 2026,abgerufen am 7.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
358,"↑Kimberley Schmidt:Ostsee-Wal „Timmy“ bewegt Deutschland – Expertin nimmt Stellung zu eingestellten Rettungsversuchen.In:Frankfurter Rundschau.15.April 2026,abgerufen am 16.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
368,"↑Maria Kurth:Ostsee-Wal Timmy – Berliner Meeresbiologin appelliert an „Mut zur Zurückhaltung“.In:Berliner Morgenpost.22.April 2026,abgerufen am 22.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
369,"↑Kate Connolly:Attempts to rescue Timmy the stranded whale ‘inadvisable’, experts say.In:theguardian.com.29.April 2026,abgerufen am 29.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
370,"↑Franziska Schwarz:Wal-Wirbel um „Timmy“-Peilsender: Experte widerspricht Rettern deutlich – „ziemlich amateurhaft“.In:merkur.de.7.Mai 2026,abgerufen am 7.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
371,"↑Kate Connolly:Rescue of Timmy the whale ‘an all-round catastrophe’ after tracker failure.In:theguardian.com.5.Mai 2026,abgerufen am 7.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
372,"↑Miriam Rathje:Waltransport beendet: Buckelwal „Timmy“ in der Nordsee freigesetzt – bisher aber keine Senderdaten.In:tagesspiegel.de.2.Mai 2026,abgerufen am 2.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
373,"↑Jenny Gross:Timmy the Stranded Whale Is Released After an Elaborate Rescue.In:The New York Times.2.Mai 2026,abgerufen am 5.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
378,"↑Miriam Rathje:„Eine seltsame Geschichte“: So berichtet die internationale Presse über Buckelwal „Timmy“.In:tagesspiegel.de.5.Mai 2026,abgerufen am 5.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
380,"↑Frauke Fischer:Ein Wal und andere Tiere: Timmy und wir verdienen mehr.In:Frankfurter Rundschau.10.April 2026,abgerufen am 15.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
381,"↑Nela Heidner:Theologe über gestrandeten Wal Timmy: „Etwas Zeichenhaftes ist passiert“.In:euronews.com.8.Mai 2026,abgerufen am 8.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
382,"↑Judith Blage:Alle weinen um den Wal Timmy. Doch eigentlich weinen wir dabei um uns selbst.In:Neue Zürcher Zeitung.11.April 2026,abgerufen am 17.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
384,"↑Tobias Schmitz:Wal Timmy zu retten bedeutet, die ganze Welt zu retten.In:Stern.21.April 2026,abgerufen am 21.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
385,"↑Alina Juravel:Buckelwal freigelassen: Die Empathie für Timmy ist kein Fehler.In:waz.de.3.Mai 2026,abgerufen am 4.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
386,"↑Katrin Zöfel:«Timmy» in der Ostsee-Walrettung: Wenn Gefühle stärker als Fakten sind.In:Schweizer Radio und Fernsehen.24.April 2026,abgerufen am 24.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
390,"↑Birgit Baumann:Wal „Timmy“ wird in Deutschland zum Politikum.In:Der Standard.16.April 2026,abgerufen am 16.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
396,"↑Torsten Harmsen:Totgeliebt: Warum mich der Wal Timmy an den Eisbären Knut erinnert.In:berliner-zeitung.de.8.Mai 2026,abgerufen am 8.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
398,"↑»Timmy« ist ein echt teutonisches Tier.In:Der Spiegel.25.April 2026,abgerufen am 25.April 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
399,"↑„Sprengt den Wal“: Berliner Rockband polarisiert mit Song über Ostsee-Wal „Timmy“.30.April 2026,abgerufen am 4.Mai 2026.",https://de.wikipedia.org/wiki/Timmy_(Buckelwal)
